,city,lat,lon,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
0,bredasdorp,-34.53,20.04,50.0,81,0,2.24,ZA,1603225932
1,kinshasa,-4.32,15.32,82.4,74,20,2.24,CD,1603225933
2,mitu,1.2,-70.17,81.05,90,99,2.01,CO,1603225933
3,rikitea,-23.12,-134.97,73.51,79,0,14.97,PF,1603225933
4,lannion,48.75,-3.42,59.0,87,100,9.17,FR,1603225933
5,moramanga,-18.93,48.2,63.05,89,99,1.83,MG,1603225933
6,naliya,23.27,68.83,82.9,73,0,8.39,IN,1603225933
7,alta floresta,-9.88,-56.09,89.53,42,95,2.86,BR,1603225933
8,hobart,-42.88,147.33,52.0,87,75,2.77,AU,1603225807
9,albany,42.6,-73.97,66.0,77,100,1.12,US,1603225759
10,bara,10.37,10.73,80.15,44,80,5.66,NG,1603225934
11,gigmoto,13.78,124.39,80.28,82,99,11.59,PH,1603225934
12,kapaa,22.08,-159.32,77.0,88,75,10.29,US,1603225934
13,ushuaia,-54.8,-68.3,44.6,62,75,14.99,AR,1603225934
14,allada,6.67,2.15,80.6,88,40,10.29,BJ,1603225934
15,roma,43.21,-75.46,51.8,87,90,3.36,US,1603225925
16,isangel,-19.55,169.27,71.6,88,75,10.29,VU,1603225935
17,mataura,-46.19,168.86,48.99,79,45,4.0,NZ,1603225935
18,sitka,57.05,-135.33,44.6,81,20,3.36,US,1603225935
19,ribeira grande,38.52,-28.7,62.6,59,40,5.82,PT,1603225935
20,port augusta,-32.5,137.77,55.4,93,9,5.82,AU,1603225936
21,kamaishi,39.27,141.88,52.27,70,3,4.99,JP,1603225936
22,kaitangata,-46.28,169.85,50.02,63,96,3.49,NZ,1603225936
23,chuy,-33.7,-53.46,55.06,84,100,15.28,UY,1603225936
24,hobyo,5.35,48.53,80.1,81,0,18.86,SO,1603225936
25,hermanus,-34.42,19.23,50.0,86,0,0.56,ZA,1603225657
26,nikolskoye,59.7,30.79,35.01,86,40,2.24,RU,1603225937
27,vajszlo,45.86,17.98,45.0,83,67,8.72,HU,1603225937
28,nizwa,22.93,57.53,68.94,23,0,3.02,OM,1603225937
29,atuona,-9.8,-139.03,77.77,73,4,18.05,PF,1603225937
30,osmena,10.52,119.93,81.0,82,100,11.48,PH,1603225937
31,egvekinot,66.32,-179.17,34.14,100,100,7.36,RU,1603225938
32,rudnya,54.95,31.09,34.59,89,98,5.17,RU,1603225938
33,cedar city,37.68,-113.06,71.6,10,1,3.36,US,1603225938
34,kodiak,57.79,-152.41,46.4,49,1,14.99,US,1603225938
35,mar del plata,-38.0,-57.56,55.4,50,34,8.05,AR,1603225775
36,ternate,0.8,127.4,80.82,73,29,4.7,ID,1603225938
37,pevek,69.7,170.31,30.51,95,100,18.05,RU,1603225939
38,bosaso,11.28,49.18,83.08,35,0,8.93,SO,1603225939
39,haimen,23.19,116.61,71.6,68,53,4.47,CN,1603225939
40,russell,32.35,-85.2,84.2,48,75,8.05,US,1603225939
41,vaini,-21.2,-175.2,75.2,64,40,10.29,TO,1603225939
42,auki,-8.77,160.7,81.0,80,100,5.08,SB,1603225939
43,soyo,-6.13,12.37,77.27,80,83,6.24,AO,1603225939
44,pocone,-16.26,-56.62,90.45,46,67,7.11,BR,1603225940
45,lagoa,39.05,-27.98,63.41,67,49,28.83,PT,1603225940
46,solnechnyy,50.72,136.63,34.93,83,76,7.61,RU,1603225940
47,jamestown,42.1,-79.24,48.99,93,90,6.93,US,1603225940
48,chanute,37.68,-95.46,51.8,87,90,8.79,US,1603225860
49,butaritari,3.07,172.79,81.91,77,93,11.92,KI,1603225940
50,punta arenas,-53.15,-70.92,50.0,46,75,13.87,CL,1603225940
51,new norfolk,-42.78,147.06,52.0,71,99,1.92,AU,1603225941
52,limbang,4.75,115.0,77.0,88,75,5.82,MY,1603225941
53,bakchar,57.02,82.07,41.11,93,100,8.1,RU,1603225941
54,nueva loja,0.08,-76.88,77.0,94,75,2.24,EC,1603225941
55,khatanga,71.97,102.5,5.88,95,83,8.23,RU,1603225941
56,great falls,47.5,-111.3,32.0,86,90,3.36,US,1603225747
57,srednekolymsk,67.45,153.68,15.76,96,94,5.35,RU,1603225942
58,east london,-33.02,27.91,61.39,67,9,10.38,ZA,1603225942
59,saint anthony,45.02,-93.22,32.0,92,90,5.82,US,1603225942
60,georgetown,5.41,100.34,80.6,88,20,3.36,MY,1603225813
61,thompson,55.74,-97.86,30.2,68,90,3.36,CA,1603225942
62,bengkulu,-3.8,102.27,76.6,80,100,3.53,ID,1603225942
63,bethel,41.37,-73.41,68.0,77,40,9.17,US,1603225943
64,bayevo,53.28,80.77,42.04,64,57,8.28,RU,1603225943
65,kalabo,-14.97,22.68,75.31,17,0,4.88,ZM,1603225943
66,salalah,17.02,54.09,80.6,51,70,2.24,OM,1603225943
67,meulaboh,4.14,96.13,76.87,85,54,4.59,ID,1603225943
68,esperance,-33.87,121.9,57.2,100,90,9.17,AU,1603225943
69,caravelas,-17.71,-39.25,73.96,91,87,6.24,BR,1603225944
70,tasiilaq,65.61,-37.64,32.0,93,100,21.92,GL,1603225944
71,longyearbyen,78.22,15.64,23.0,73,8,1.12,SJ,1603225944
72,opuwo,-18.06,13.84,66.09,33,0,4.03,NA,1603225944
73,sur,22.57,59.53,72.99,63,0,5.32,OM,1603225944
74,gorontalo,0.54,123.06,73.94,85,100,1.97,ID,1603225945
75,clyde river,70.47,-68.59,30.2,74,90,16.11,CA,1603225942
76,severnyy,50.68,36.55,39.2,82,0,8.95,RU,1603225945
77,bluff,-46.6,168.33,48.99,79,67,4.0,NZ,1603225945
78,paka,4.64,103.44,77.0,100,50,3.4,MY,1603225945
79,bubaque,11.28,-15.83,82.56,80,5,13.98,GW,1603225945
80,klaksvik,62.23,-6.59,41.0,70,37,9.17,FO,1603225763
81,prado,-17.34,-39.22,73.99,91,83,3.24,BR,1603225946
82,warrnambool,-38.38,142.48,48.99,93,33,3.58,AU,1603225946
83,slantsy,59.12,28.09,33.08,93,100,2.35,RU,1603225946
84,tuatapere,-46.13,167.68,48.99,79,16,4.0,NZ,1603225946
85,kavaratti,10.57,72.64,81.21,75,100,10.2,IN,1603225947
86,barguzin,53.62,109.62,22.32,88,100,3.09,RU,1603225947
87,lebu,-37.62,-73.65,52.52,67,0,19.69,CL,1603225947
88,saint-philippe,-21.36,55.77,71.6,73,18,6.93,RE,1603225947
